speaker_org,statement,right
Nick Timothy,"15:15:00  Matthew Taylor's 2017 report on the gig economy stated:  ""Ultimately, if it looks and feels like employment, it should have the status and protection of employment."" When the Committee first met, which we might all agree feels like several years ago, we heard evidence from Professor Deakin, who said that  ""unless a way is found to include workers like the Deliveroo workers within the scope of protective labour law, the proposals to improve collective bargaining rights and many other rights will just fall away. Large businesses like Deliveroo, I would say, need workers; and if our labour law system cannot describe those workers as protected by one means or another, there is a clear defect in it…",STATUS
Nick Timothy,"Many of the measures contained in the Bill would not be effective, unfortunately, if this issue was not grappled with."" We also heard from Professor Bogg, who said,  ""In a situation where a large company is relying on wilful blindness to avoid responsibilities under migration rules or under health and safety legislation, there is a very simple response, which is to impose criminal liability on large corporations that try to rely on wilful blindness to avoid obligations in primary legislation. That is a very straightforward way of tackling an abusive avoidance of rules that are very important to enforce.",STRIKE
Nick Timothy,Substitution clauses enable a culture of maximising profit at the expense of workers and without any regard for the law or the wider community. They have created an illegal workforce without access to the rights that should underpin the labour market. That is why I urge Labour Members here today to look at the new clause with an open mind and consider how it could help to tip the scales against those in positions of power who are willing to see the misery endure.,STRIKE
Greg Smith,"Friend has outlined, would want those practices to continue in our economy, not least given the grave and worrying evidence presented about sexual harassment, sexual offences and rape. Those facts cannot be ignored.",EQUAL
Greg Smith,"Friend has explained the situation at some length, so I will conclude by saying that the Government have a clear choice here. They can go down the political route and, having heard compelling evidence, still say, ""We do not want to do this because it has come from a Conservative Member,"" or find some language to say that in a different way.",STRIKE
Greg Smith,"Friend and reach cross-party consensus on the need to tackle it, and acknowledge that tackling it fits very neatly with the aims and objectives of the Bill we have been considering for some weeks in Committee. We all make political choices in this place. It is now incumbent on the Minister to give us the political choice that he and the Government wish to make on this: stand with the victims whom my hon.",STRIKE
Justin Madders,I am pleased to see that he and the shadow Minister do too. It has clearly become more and more of an issue in recent years. It is based on exploitation of vulnerable individuals.,GENERAL
Justin Madders,"It is about a race to the bottom and about a labour market that is, as Matthew Taylor identified all those years ago, fundamentally not working. That said, we are not able to accept the new clause, and I will explain why. That does not mean I am not sympathetic to it.",WAGES
Justin Madders,"I recently met the Director of Labour Market Enforcement, Margaret Beels, and the Home Office to discuss this matter. In fact, we have now met the Home Office twice on this issue, because we are aware that there are concerns about how substitution clauses in the gig economy, in particular, are operating. I have recently written to Deliveroo, Just Eat and Uber, because their substitution clauses-certainly some of them-do not appear to have any cognisance of whether the substitute has the right to work in the UK.",STRIKE
Justin Madders,"I would not say that applies to all gig economy companies-I could say ""employers"", but of course they would say that they are not employers. They do not all take that view of substitution, but it is clear from what we have heard that this is not being policed properly at the moment, so we want these companies to step up and make sure that those who are working for them are entitled to do so legally, that they know who they are and that they are who they say they are, and that all the checks that we would expect any responsible employer to make have been made. The challenge is that there is a broad definition of self-employment and substitution clauses are used far more widely than the gig economy.",SECURITY
Justin Madders,"There have been cases going back decades on whether someone has employment rights, and that often centres on the use of a substitution clause. In recent years, that has been turbocharged by gig economy companies to create this new network of workers, but there would be a number of unintended consequences in the wider economy if we accepted the new clause, because of its broadness. It would make people such as IT contractors or plumbers-indeed, there was a case involving a gym instructor who had a substitution clause-unable to provide a substitute.",STATUS
Justin Madders,"There are all sorts of jobs out there-many thousands and possibly millions-where substitution clauses are used perfectly well, and unfortunately, because of the way the new clause is drafted, it would mean that none of those people could continue to use them. Clearly, we would not want to see that, because it is an important part of self-employment for someone to be able to provide a substitute for their services if they are unavailable, but we recognise that the law needs modernising in this area. We have committed to consulting on a simpler, two-part framework for employment status.",SECURITY
Justin Madders,We think that is really important to drive out the many abuses that we have heard about.,GENERAL
Justin Madders,"Member for West Suffolk that it should not be left to the courts to determine whether someone has particular rights. That should be set down by Parliament, and it should be clear and make sure that there is no room for loopholes. It is important that we get that right.",GENERAL
Justin Madders,"I think that the new clause would create a whole range of unintended consequences and exclude people from carrying out their legitimate business, but I assure hon. Members that I take this matter very seriously and I am doing what I can, before we have the review, to make sure that those companies that are employing people in this way are doing so safely and responsibly.",SECURITY
Steve Darling,"Sadly, a lot of men choose not to take up these opportunities.",EQUAL
Steve Darling,"We will discuss later our proposals on kinship care and fostering, and this is all part of that bigger picture. By supporting families with these four proposals in the three key areas that they cover, we are putting family at the heart of our world. One only has to reflect on social care and children's social care, and the significant cost where there is family breakdown, to see that the more the state can do to support families, the better.",GENERAL
Steve Darling,"I would like to move on to kinship care, where there are real opportunities. I know that the all-party parliamentary group on kinship care has discussed these measures and sees this as a real opportunity for the Government to move positively to support kinship carers.",STATUS
Greg Smith,"The new clause would create new rates of statutory maternity pay, paternity pay, adoption pay, shared parental pay and parental bereavement pay. That all sounds very good, and I do not necessarily oppose it-everybody would love to see those rates increase.",WAGES
Greg Smith,"What research have they done to ascertain whether these rates are affordable for employers? I am sure that we would all like to see these rates offered, but we always need to be able to pay for them. It is incumbent on anyone proposing a new clause such as this to be certain that the rates are affordable for employers.",WAGES
Greg Smith,"On maternity, paternity and shared parental pay specifically, what engagement have the Liberal Democrats undertaken with businesses on whether the proposed rates would make them more hesitant about hiring candidates at the stage of life when they might be thinking about having children? It is very important that nothing stops any employer considering people at that stage of their life. It is also very important that we understand, when considering such a new clause, which on the face of it has great merit-I do not intend to distract from that point-what work the Liberal Democrats have done on its potential unintended consequences.",STATUS
Greg Smith,"I repeat that, on the face of it, this proposal has strong merit, but I just do not see any evidence that the research has been done to substantiate its affordability or effectiveness, no matter how much we might all want to see it.  15:30:00",WAGES
The Minister for Equalities (Dame Nia Griffith),"The Government are committed to ensuring that employed parents receive the best level of support to balance their work and family lives. Our plan to make work pay will ensure that employees are supported to work while balancing their essential family responsibilities. We understand that parental leave and pay entitlements are a key part of that, and that is why the Bill will already make changes to parental leave.",GENERAL
The Minister for Equalities (Dame Nia Griffith),"The new clause would double the existing rate of statutory parental payments from £184.03 to £368.06. When considering calls to increase the level of parental pay generally, we need to consider the impact on limited resources and the burden on employers. Changes to parental pay would require careful consideration alongside tax reform and consideration in the wider context of benefits and employment rights over the longer term, and they would need to be made in consultation with businesses and stakeholders.",WAGES
Steve Darling,"80EG Rights during and after kinship care leave  (1) Regulations under section 80EF must provide-  (a) that an employee who is absent on leave under that section is entitled, for such purposes and to such extent as the regulations may prescribe, to the benefit of the terms and conditions of employment which would have applied but for the absence,  (b) that an employee who is absent on leave under that section is bound, for such purposes and to such extent as the regulations may prescribe, by obligations arising under those terms and conditions (except in so far as they are inconsistent with subsection (1) of that section), and  (c) that an employee who is absent on leave under that section is entitled to return from leave to a job of a kind prescribed by regulations, subject to section 80EH. (2) The reference in subsection (1)(c) to absence on leave under section 80EF includes, where appropriate, a reference to a continuous period of absence attributable partly to leave under that section and partly to any one or more of the following-  (a) maternity leave,  (b) paternity leave,  (c) adoption leave,  (d) shared parental leave,  (e) parental leave,  (f) parental bereavement leave.",STATUS
Steve Darling,"80EH Special cases  (1) Regulations under section 80EF may make provision about-  (a) redundancy during or after a period of leave under that section, or  (b) dismissal (other than by reason of redundancy) during a period of leave under that section. (2) Provision by virtue of subsection (1) may include-  (a) provision requiring an employer to offer alternative employment;  (b) provision for the consequences of failure to comply with the regulations (which may include provision for a dismissal to be treated as unfair for the purposes of Part 10). 80EI Chapter 5: supplemental  (1) Regulations under section 80EF may-  (a) make provision about notices to be given, evidence to be produced and other procedures to be followed by employees and employers;  (b) make provision requiring employers or employees to keep records;  (c) make provision for the consequences of failure to give notices, to produce evidence, to keep records or to comply with other procedural requirements;  (d) make provision for the consequences of failure to act in accordance with a notice given by virtue of paragraph (a);  (e) make special provision for cases where an employee has a right which corresponds to a right under section 80EF and which arises under the person's contract of employment or otherwise;  (f) make provision modifying the effect of Chapter 2 of Part 14 (calculation of a week's pay) in relation to an employee who is or has been absent from work on leave under section 80EF;  (g) make provision applying, modifying or excluding an enactment, in such circumstances as may be specified and subject to any conditions which may be specified, in relation to a person entitled to take leave under section 80EF;  (h) make different provision for different cases or circumstances;  (i) make consequential provision.",SECURITY
Steve Darling,"The number of children in our United Kingdom who benefit from kinship care is 130,000-equivalent to the population of Colchester or Watford. That is three times more than the number of youngsters who benefit from fostering, which is where one imagines, and one would hope, most youngsters in need of support would get it. The new clause, by allowing additional leave, would allow greater flexibility to get those youngsters into the family, and would help families come to terms with, and settle into, kinship care.",GENERAL
Steve Darling,"We need to change the workplace so that it supports foster families and kinship care families, making sure that, the vast majority of the time, the best place for a child is within a loving family home-whatever shape or form that takes-rather than in a care home or similar place miles away from home. This collection of proposals would help to drive the agenda to change our culture in the UK and support young people in loving homes, with families.",STATUS
Greg Smith,"Where the clause falls a little short is that it appears to be very trusting of the Government. Some on the Committee might think that is equally a very sensible and good thing, but obviously Governments come and go. Anything set out in any legislation that leaves things open also leaves them open to misinterpretation and the risk that they will not necessarily deliver that which was intended.",GENERAL
Greg Smith,"The entire eventual policy that new clause 14 would enable would be left up to Ministers, including the extent of an employee's entitlement to leave, when leave may be taken and much more. I wonder whether the Liberal Democrats have a policy position on those matters; if they do, it seems rather trusting to just leave it up to the Government to determine, rather than setting it out in the new clause.",GENERAL
Greg Smith,"New clause 15 defines what is meant by kinship care. There is some confusion here, because the Government have set out their definition of kinship care in the Children's Wellbeing and Schools Bill, which specifies that a child is in kinship care if  ""the child lives with a relative, friend or other person connected with the child for all or part of the time"",  or if the child lives with that person  ""for all of the time, or for more time than the child lives with a parent"",  and that person provides  ""all of the care and support provided for the child, or more of that care and support than is provided for the child by a parent."" A child is also in kinship care if the child lives with two or more relatives, friends or other persons  ""all or most of the time (whether or not the child lives with those persons at the same time)"",  and  ""those persons, taken together, provide all or most of the care and support provided for the child.""",STATUS
Greg Smith,"That definition was introduced after new clause 15 was tabled, so it would be interesting to know whether there are aspects of the Government's definition that the Liberal Democrats support, or whether they prefer their own, and why. It seems to me that, now there is live Government legislation in this area providing a perfectly good and well-meaning definition of kinship care, we do not need the new clause.",STATUS
Greg Smith,"I would be interested to know whether the Liberal Democrats have undertaken any assessment of how businesses would be able to absorb the additional cost. That is not to say that we necessarily oppose the principle, but again, like with new clause 13, it would be important to know, before we could formally support any such change-well-meaning as it might be-whether that research has been done to understand the cost to business.",GENERAL
Dame Nia Griffith,"I start by emphasising how much I value kinship carers, who provide loving homes for children who cannot live with their parents. This Government are committed to ensuring that all employed parents and carers receive the best possible support to balance their work and family lives. We are also aware that the existing system of leave for parents and carers needs improvement.",GENERAL
Dame Nia Griffith,"Some of the improvements to that system will be made through this Bill, while others will be delivered separately.",GENERAL
Dame Nia Griffith,"Member for Mid Buckinghamshire has mentioned, for the first time, this Government's Children's Wellbeing and Schools Bill will create a legal definition of kinship care for the purposes of measures within that Bill, including the duty to provide information to children and their kinship carers by local authorities, and extending the role of a virtual school head to promote the educational achievement of children in kinship care. That is a vital part of our commitment to keeping families together and supporting children to achieve and thrive. That Bill defines kinship care as a situation in which a child lives with, and is cared for by, a relative, friend or someone else connected to them, instead of their parents, and that person provides all or most of the care and support to the child.",GENERAL
Dame Nia Griffith,"By defining kinship care in law, the legislation will ensure that local authorities have a clear and consistent understanding of what constitutes kinship care.",GENERAL
Dame Nia Griffith,"I am also pleased to say that the Government recently announced a £40 million package to trial a new kinship allowance, which is the single biggest investment made by Government on kinship care to date. That investment could transform the lives of vulnerable children who can no longer live at home. It could allow children to grow up within their extended families and communities, reducing disruption to their early years so that they can focus on schooling and building friendships.",GENERAL
Dame Nia Griffith,"Employed kinship carers may already benefit from a number of workplace employment rights that are designed to support employees in balancing work alongside caring responsibilities. Those rights include: a day one right to time off for dependants, which provides a reasonable amount of unpaid time off work to deal with an unexpected or sudden emergency involving a child or dependant and to put care arrangements in place; the right to request flexible working; and the right to unpaid parental leave, which, through this Bill, we are making a day one right. An employee may not automatically have parental responsibility as a result of being a kinship carer, but they may acquire parental responsibility through, for example, a legal guardianship order.",STATUS
Dame Nia Griffith,"We have also committed to a review of the parental leave system to ensure that it best supports all working families. That review will be conducted separately from the Employment Rights Bill, and work is already under way on planning for its delivery.",SECURITY
Dame Nia Griffith,"Employees in these circumstances are entitled to a day one right to time off for dependants, which provides for a reasonable amount of unpaid time off work to deal with an unexpected or sudden emergency involving a child or a dependant and to make arrangements for care. If they are looking after a child who is disabled or who lives with a long-term health condition, they would also be entitled to carer's leave. That allows them to take up to a week's leave in a 12-month period and can be particularly helpful in navigating medical appointments.",STATUS
Dame Nia Griffith,"The Government are going to make flexibility the default, except where it is not feasible, through measures in the Bill, which will help people to balance their professional and personal lives. That will apply to employees who are also foster parents, and help them to navigate childcare and fostering responsibilities around work. Local authorities and fostering agencies should understand the importance of maintaining a balance between professional responsibilities and the rewarding role of fostering.",STATUS
Dame Nia Griffith,"Broadly speaking, no foster carer should be financially disadvantaged because of their fostering role. We expect all foster parents to receive at least the weekly national minimum allowance, in addition to any agreed expenses to cover the full cost of caring for each child placed with them. Fostering service providers can choose to pay above the minimum allowance or pay additional fees.",WAGES
Dame Nia Griffith,"Qualifying care relief is a tax relief also available to support foster carers. We encourage fostering service providers to adhere to the foster carers' charter, which sets out clear principles for how foster carers should be treated and recognises their invaluable work.",WAGES
Dame Nia Griffith,"Given that existing range of entitlements and support, it would not be appropriate to amend the legislation at this time.",GENERAL
Dame Nia Griffith,"The Government pay tribute to the vital efforts of foster carers, which is why we are investing £15 million to boost the number of foster carers next year. That will help to recruit more foster parents by starting the work to ensure that every local authority has access to a regional recruitment hub. We expect that to generate hundreds of new foster placements, reduce local authorities' reliance on the expensive residential care market and offer children a stable environment to grow up in.",GENERAL
Greg Smith,"New clause 19 and amendment 116 would require the Secretary of State to consult on the operation of trade union legislation. We have heard a lot during this Committee about the need to consult, but we are missing the crucial bit about consulting on the actual operation of the trade union legislation. New clause 19 would require the Secretary of State to consult precisely on the operation of the Trade Union and Labour Relations (Consolidation) Act 1992 and the effects of provisions in part 4 of the Bill on that operation.",GENERAL
Greg Smith,"We have seen pages of Government amendments tabled in Committee because the Bill was introduced to the House before it was ready and before the Government had done the necessary policy work to determine what should be in it-all in a rush to meet the arbitrary 100-day deadline rashly proposed by the Deputy Prime Minister. It is not often that I agree with the Prime Minister's former chief of staff, but there were reports before the election that even she thought that was an unrealistic deadline, and events have proven her correct. It may embarrass the Minister or make him a little awkward every time I raise this point, but that will not stop me from stating the facts.",GENERAL
Greg Smith,"Part 4 of the Bill is an enormous expansion of the power of trade unions. These measures have not been consulted on and will have an enormous impact on not just businesses, but the efficiency of private and public sector employers, with all the associated costs.",GENERAL
Greg Smith,"There is a strange doublespeak between the Government's stated aims for the Bill and its likely consequences. The Government's impact assessment says:  ""The objectives of the Bill are to…Improve industrial relations and reducing the number of days lost to strike action by allowing working people to organise collectively through trade unions and improving the legislative framework in which they operate."" How can the Government believe that the Bill will reduce the days lost to strike action when part 4 specifically takes measures to make strike action easier?",STRIKE
Greg Smith,"For example, it makes it easier for unions to be recognised by removing the requirement for a union to demonstrate that the proposed bargaining unit is 10% of its membership on application to the Central Arbitration Committee and replaces it with references to the ""required percentage test"", which will surely make strike action more likely. Part 4 also requires the Central Arbitration Committee to declare a trade union as recognised for collective bargaining purposes where the result of the ballot shows that a majority of those voting were in favour of union recognition. The additional requirement for the union to have at least 40% support in the bargaining unit has been deleted.",GENERAL
Greg Smith,"We then come to the changes to ballot thresholds, which seem specifically designed to make it more, not less, likely that more days will be lost to industrial action.",STRIKE
Greg Smith,"The Bill removes the requirement for at least 50% of trade union members entitled to vote to do so for an industrial action ballot to be valid. It also removes the requirement for trade unions in important public services to obtain the support of at least 40% of members entitled to vote in the ballot for industrial action to be successful and replaces that with a simple majority of those voting, with no requirements for any level of turnout. Can the Minister explain how that will make industrial action less likely?",STRIKE
Greg Smith,"Surely making it easier for trade unions to gain a mandate for strike action by removing sensible thresholds imposed by the previous Conservative Government will make strike action more likely, which is contrary to the Government's stated aims for the Bill. That is why it is so important for the consultation in new clause 19 to be laid before the House. That contradiction between the Government's stated intentions for part 4 and the result of the Bill, which is likely to be the opposite, is the first reason we believe the Government need to enact a proper consultation to prove that the Bill will work, which they should have done before introducing the Bill in the first place.",STRIKE
Laurence Turner,"First, the Trade Union and Labour Relations (Consolidation) Act was a monumental undertaking; as the name implies, it consolidated all previous industrial relations legislation.",GENERAL
Laurence Turner,"One of the effects of the new clause would be to cast a pall of doubt over every measure in that legislation, including measures that I am sure the hon.",GENERAL
Laurence Turner,"Would the exercise not therefore be unduly onerous to undertake or, in practice, perfunctory? It will have the effect only of delaying a number of very important measures, including some that the hon.",STRIKE
Greg Smith,"Are the laws that were consolidated on our statute book in 1992 fully relevant in 2025, and how are they working? Until we can answer that rather tricky exam question, it is important that we do not make the leaps forward contained in the Bill that we have debated over the past few weeks.",GENERAL
Greg Smith,"The next reason why a consultation is necessary before part 4 is commenced is the burden on employers, which is laced throughout part 4. Leaving aside the likely burden and cost of additional days of strike action, I want to ask for the Minister's assessment of the burden that the measures will place on employers. The requirement on an employer to provide an employee with a written statement of the worker's rights to join a trade union means more red tape, as do the trade unions' rights of access to workplaces.",STRIKE
Greg Smith,"There is also the requirement to provide a response notice and the fact that trade unions can request access to workplaces for the extremely wide purposes of meeting, representing, recruiting or organising workers, whether or not they are members of a trade union, or facilitating collective bargaining.",STRIKE
Greg Smith,"The employer will not be compensated for that, but will have to bear the cost. How burdensome will it be for an employer to defend at tribunal the reasons for not granting access, and can the system even cope with that?",GENERAL
Greg Smith,"Reversing the effect of section 8 of the Trade Union Act 2016 will reduce the notice that a trade union must give the employer of industrial action after it has secured a ballot mandate and before any such action is taken from 14 to seven days. Can the Minister explain how any of the above measures will enable employers to increase productivity, reduce costs or reduce red tape? Perhaps they are just another set of anti-growth measures from this Government, in contrast to their stated foundational mission of growth.",STRIKE
Greg Smith,"Growth is important, and the measures that I have just mentioned from part 4 make that harder. That is why the consultation for which the new clause calls is so important. We come to the third reason that a consultation is necessary.",GENERAL
Greg Smith,"The Government have not done any evidence-based work-at least not publicly-on how effectively existing trade union legislation, in particular the balanced approach we introduced with the Trade Union Act 2016, is working and on how the proposals in part 4 of the Bill would change that. That basic level of due diligence is needed before part 4 can be commenced.",GENERAL
Greg Smith,"The required test for the percentage of the workforce that needs to support trade union recognition is to be determined by regulations. The definition of detriment that cannot be suffered as a result of taking industrial action is to be determined by regulations. A worker's right to have their employer provide them with a written statement of their right to join a trade union at the same time as they provide them with a statement of their employment particulars, and at further prescribed times, as specified under section 1 of the Employment Rights Act 1996, is to be set out in regulations.",GENERAL
Greg Smith,"That is just a small snapshot of the issues that are left unresolved in part 4, and that the Government hope to push through in statutory instruments, with much less scrutiny. We think that more and better information should be provided to Parliament before part 4 is commenced.",GENERAL
Greg Smith,"We know who is pulling the Government's strings here: the trade unions have been clear about their aims. As Mick Lynch said, they are pushing for the  ""complete organisation of the UK economy by trade unions"". That statement seems directly contradictory to the Government's aim to achieve growth, and such a move is designed to take us back to the 1970s.",STRIKE
Justin Madders,"The shadow Minister seeks through the new clause and amendment to relitigate a number of the issues we debated last week, and he will not be surprised to hear that I will pick up on just one or two of his comments. He said that the 100-day deadline was unrealistic, but it was not, because we achieved it. All involved made a fantastic effort to ensure that we had a Bill published within that 100-day deadline.",GENERAL
Justin Madders,"There have been some minor technical amendments to the Bill as we have moved along, and there are important issues of principle that we continue to engage and consult on. As the shadow Minister said, the new clause would require a consultation on the operation of the Trade Union and Labour Relations (Consolidation) Act 1992, as amended by part 4 of the Bill. I was not entirely clear whether he was referring just to the amendments to the 1992 Act by virtue of part 4 of this Bill or to the entire Act; in any event, there is some overlap between the two.",GENERAL
Justin Madders,We are pretty clear that the intention behind the new clause is to delay the Bill as much as possible. It would impinge on our desire and our manifesto commitment to improve workers' rights and the ability of workers to have a meaningful voice through collective bargaining to secure pay and conditions.,WAGES
Justin Madders,"The shadow Minister will be aware that the Government have already undertaken a number of consultations, with four over the Christmas period, including one on modernising the framework for industrial relations, which would cover many of the provisions of the 1992 Act. As we move forward, get the Bill through Parliament and lay secondary legislation, there will be ongoing consultations and discussions about the provisions in the Bill, the application of codes of practice, and some of the matters that have been left for regulation.",GENERAL
Justin Madders,"The shadow Minister challenged me about how we can push the Bill forward, without there being questions as to whether it would lead to increased industrial action. The evidence we have is that legislation introduced by the Conservative Government led to increased industrial action in the last two years, and saw the highest levels of industrial action in decades. That shows that not putting industrial relations on a sensible footing and a collegiate basis is detrimental to them.",STRIKE
Justin Madders,"The impact assessment for the Strikes (Minimum Service Levels) Act 2023 made it clear it would worsen industrial relations, and so it proved.",STRIKE
Justin Madders,A number of measures in the Bill will actually reduce burdens on employers' organisations and trade unions in terms of notification and reporting requirements. He also challenged us on what the impact of some of this stuff will be.,GENERAL
Justin Madders,"We can never say for sure that the Strikes (Minimum Service Levels) Act 2023 will have any impact, because it has never been used.",STRIKE
Justin Madders,One of the fundamental weaknesses with that legislation was that it was so unworkable and so damaging to industrial relations that no one ever thought it was a sensible idea to implement it.,GENERAL
Justin Madders,"So there was a lot of hot air and posturing in that previous legislation, and it was not conducive to good industrial relations.",GENERAL
Justin Madders,"We are more than happy to see the back of it, but of course we will continue to consult and engage with all stakeholders as we move forward on implementing our clear manifesto commitments.",GENERAL
The Chair,"With this it will be convenient to discuss amendment 120, in clause 118, page 105, line 20, at end insert-  ""(3A) But if the provisions of section [Right to switch off in relation to trade union representatives] have not been fully brought into force before the end of the period of 12 months beginning with the day on which this Act is passed, that section (so far as not already in force) comes into force at the end of that period."" This amendment is consequential on NC21 and provides that the provision must have effect within a year of the passing of this Act.",WAGES
Greg Smith,"We know that the Government would like to give employees the legal entitlement to disconnect from work-related communications during non-working hours, to ensure a healthier work-life balance. My understanding, and I would be grateful for the Minister's confirmation, is that this would apply to all forms of communication, including emails, phone calls and instant messaging. That is a burdensome requirement for employers.",STRIKE
Greg Smith,"To ensure that they are complying with the eventual law, they are likely to need to establish clear boundaries for out-of-hours communication to protect employees' rights and avoid legal risks. In other words, they need another policy and then to enforce it. I accept that I am speculating a little, because we do not know whether the Government will impose a code of practice or legislation and exactly what that would contain, but I have made an educated guess, allowing for the Government's pronouncements so far.",STRIKE
Greg Smith,"We think that any requirement placed on employers that restricts the contact that can be made with their employees should also apply to trade unions. Surely, it is damaging for employees' mental health to be contacted by their trade union reps around the clock.",STRIKE
Greg Smith,"We have adopted our own definition of the right to switch off, in the absence of any clear definition yet from the Government. It amounts to this:  ""In every contract of membership of a trade union, whether made before or after the coming into force of this section, a term conferring a right on the member to refuse to monitor, read or respond to contact (or attempted contact) by a trade union representative outside their working hours shall be implied."" It is only fair to secure a balance between the requirements on employers and trade unions to respect mental health and wellbeing, and to allow employees and trade union members alike to secure a healthy work-life balance.",STATUS
Laurence Turner,"From experience of working in trade unions, it is clear that the new clause would block a trade union member who was negotiating to save a company or reach an agreement, say over a weekend, from checking communications during that time. Someone might also be a delegate to a conference, and there may be serious safeguarding concerns about their behaviour.",GENERAL
Laurence Turner,"Gentleman is making a didactic point, but does he accept that there would be very perverse consequences if the new clause were implemented?",GENERAL
Greg Smith,"Member for Birmingham Northfield has said is indicative-to be resisting those same provisions applying to trade unions. It seems to be a bit of a double standard, and it is one that the amendment and the new clause seek to address.",GENERAL
Greg Smith,"There cannot be one rule for employers and another rule for the trade unions. It is a matter of fairness that we are proposing the new clause and the amendment, and I look forward to hearing what the Minister has to say in response.",STRIKE
Michael Wheeler (Worsley and Eccles) (Lab),"Does the Minister agree that the new clause seems to have no relation to the world of work, and that Opposition Members might actually be living out the fantasy that they can switch off from us on the Government Benches?",GENERAL
Justin Madders,"If we start getting into the right to switch off from people we might not want to hear from, we could end up in a very dark place.",EQUAL
Justin Madders,"The shadow Minister will see from the reaction on the Government Benches that we have never had any issue with nuisance calls or pestering from trade unions when we have been in the workplace-it is really not like that at all. These proposals are indicative of the rather outdated idea that some Opposition Members have about how trade unions operate. Were they passed, one of the unintended consequences would undoubtedly be increased demand on facility time-something I am sure the shadow Minister would not be too pleased about.",GENERAL
Justin Madders,"The employment relationship is, of course, very different to membership of a trade union, because there is a division between home and working lives, and a recognition that that has to be respected.",GENERAL
Justin Madders,"Unfortunately, there is also an expectation that people should be constantly contactable outside of work hours. We will not be legislating to ban all communication outside of working hours; what we are looking to do is implement the statutory code of practice, which will set out clear expectations and obligations to get the balance right between allowing flexibility and making it clear that people's home lives should be respected. There will be a consultation on that in due course, and I am sure the shadow Minister can submit something about trade unions contacting people if he wants to do so, but I suspect he will be the only one who does.",STRIKE
Greg Smith,"I am deeply hurt that the Minister will not take our new clause seriously. It is part of debate in this place, and our job as the Opposition, to test the boundaries of Government legislation.",GENERAL
Greg Smith,"The new clause has exposed a double standard within the Labour Government's approach to working practices, in that they seek to exempt trade unions but not employers.",STRIKE
Greg Smith,We tabled the new clause because we want to understand the cost-benefit analysis the Government have undertaken in relation to establishing the labour market enforcement body. Will the Minister inform the Committee about that work?,GENERAL
Greg Smith,"Specifically, whenever there is a reorganisation of the responsibilities between the Government and non-departmental public bodies, there are always logistical difficulties to manage, such as the transfer of staff and so on.",STRIKE
Greg Smith,"The Government's own impact assessment of the establishment of the fair work agency is fairly damning:  ""Limited evidence and an incomplete design of the operational and organisational structure of the FWA mean that it has not been possible to quantity the impact of benefits arising from its introduction nor the majority of associated costs.",GENERAL
Greg Smith,"Where costs have been calculated they are limited to the one-off costs faced by businesses in order to familiarise themselves with changes to the enforcement system. We estimate that these costs would be £33m.""  That is not my estimate, but the estimate in the Government's own impact assessment.",GENERAL
Greg Smith,"The Government have not been able to assess the costs of bringing together enforcement in this way and whether it represents value for money. As for the cost to business, the impact assessment is, again, not exactly glowing:  ""It is unclear what the total impact on business will be as a result of the creation of the FWA, this uncertainty is due to:…The operational and organisational design of the FWA not being finalised…Uncertain evidence on the number of employers and employees in scope of changes to labour market enforcement…Undetermined behavioural responses by both employers and employees as a result of the creation of the FWA."" On the direct cost to businesses, it says:  ""Businesses will face one off familiarisation costs due to the introduction of the FWA.",GENERAL
Greg Smith,"We estimate that the costs of these changes would be £33m. Additionally, businesses who are subject to investigation will face costs even if they are later found to be compliant with relevant regulation. It is not possible to state the total number of affected businesses, but we estimate that an investigation would cost each investigated business £770."" That is not an inconsiderable sum just for the investigation, before anything else is found, particularly for our small and medium-sized enterprises.",GENERAL
Greg Smith,"We may all agree that the fair work agency is a nice idea in principle, but the Government are introducing it, and it is their job to make sure they can demonstrate that it will work in practice and provide a better deal for taxpayers, employers and workers than they are getting now.",GENERAL
Greg Smith,"For example, on the enforcement system for labour market legislation, the impact assessment states that  ""the Bill could increase the volume of cases in the 'individual enforcement'…system by around 15%, albeit this would be offset to some degree by the implementation of the Fair Work Agency (FWA). The exact impact on the enforcement system is difficult to predict because the number of cases that enter the system each year fluctuates, and it will ultimately depend on behavioural factors like employers' willingness and ability to comply with regulation, and employees' willingness to bring forward a dispute."" In other words, the Government are really not sure about the impact that the Bill will have on the number of enforcement claims being brought to tribunal and the ability of the tribunal system to cope.",GENERAL
Greg Smith,"For all those reasons, we have tabled new clause 22, which would require the Secretary of State to lay before Parliament a report containing an assessment of the costs of establishing a single labour market enforcement body. Given the level of detail available so far, that would seem to be a reasonable and moderate requirement to enable Parliament to scrutinise the new agency and the value for money that it provides. It might even enable the Government to provide the House with a good news story.",GENERAL
Greg Smith,The only reason to resist the new clause would be if the Government thought that the new agency was not going to be such good news after all.,GENERAL
Justin Madders,"Let me start by explaining once again why we believe the fair work agency is so important. As we know, the current landscape for employment rights is, as was actually recognised by the previous Government, fragmented and in need of reform.",GENERAL
Justin Madders,"As a Committee, we heard evidence from Margaret Beels, the Director of Labour Market Enforcement, that the current fragmentation creates a barrier to providing effective sector-wide enforcement. She noted that bringing powers together in the fair work agency would allow for better information sharing and a more flexible and adaptive approach to enforcement, enabling resources to be directed where they are most needed.",GENERAL
